rjd,hy,hm,hd,gy,gm,gd,sy,sm,sd
8761,1300,1,1,1882,11,11,1261,2,21
8762,1300,1,2,1882,11,12,1261,2,22
8763,1300,1,3,1882,11,13,1261,2,23
8764,1300,1,4,1882,11,14,1261,2,24
8765,1300,1,5,1882,11,15,1261,2,25
8766,1300,1,6,1882,11,16,1261,2,26
8767,1300,1,7,1882,11,17,1261,2,27
8768,1300,1,8,1882,11,18,1261,2,28
8769,1300,1,9,1882,11,19,1261,2,29
8770,1300,1,10,1882,11,20,1261,2,30
8771,1300,1,11,1882,11,21,1261,3,1
8772,1300,1,12,1882,11,22,1261,3,2
8773,1300,1,13,1882,11,23,1261,3,3
8774,1300,1,14,1882,11,24,1261,3,4
8775,1300,1,15,1882,11,25,1261,3,5
8776,1300,1,16,1882,11,26,1261,3,6
8777,1300,1,17,1882,11,27,1261,3,7
8778,1300,1,18,1882,11,28,1261,3,8
8779,1300,1,19,1882,11,29,1261,3,9
8780,1300,1,20,1882,11,30,1261,3,10
8781,1300,1,21,1882,12,1,1261,3,11
8782,1300,1,22,1882,12,2,1261,3,12
8783,1300,1,23,1882,12,3,1261,3,13
8784,1300,1,24,1882,12,4,1261,3,14
8785,1300,1,25,1882,12,5,1261,3,15
8786,1300,1,26,1882,12,6,1261,3,16
8787,1300,1,27,1882,12,7,1261,3,17
8788,1300,1,28,1882,12,8,1261,3,18
8789,1300,1,29,1882,12,9,1261,3,19
8790,1300,1,30,1882,12,10,1261,3,20
8791,1300,2,1,1882,12,11,1261,3,21
8792,1300,2,2,1882,12,12,1261,3,22
8793,1300,2,3,1882,12,13,1261,3,23
8794,1300,2,4,1882,12,14,1261,3,24
8795,1300,2,5,1882,12,15,1261,3,25
8796,1300,2,6,1882,12,16,1261,3,26
8797,1300,2,7,1882,12,17,1261,3,27
8798,1300,2,8,1882,12,18,1261,3,28
8799,1300,2,9,1882,12,19,1261,3,29
8800,1300,2,10,1882,12,20,1261,3,30
8801,1300,2,11,1882,12,21,1261,4,1
8802,1300,2,12,1882,12,22,1261,4,2
8803,1300,2,13,1882,12,23,1261,4,3
